Simulazione,ValoreFitness,RMSE
1,59.5913690864666,75.4608452100763
2,62.2832714515258,78.8257231664003
3,85.461630663157,107.798672180939
4,45.0627128510855,57.3000249158499
5,56.9202459069604,72.1219412356935
6,64.3479112709031,81.4065229406219
7,49.3069127251917,62.6052747584827
8,77.1988094237328,97.4701456316591
9,7.2911918726627,10.0856236928214
10,82.3665193777224,103.929783074146
